ordinal,id,name,start_date,end_date,replaces,replaced_by
1,Q2176939,Russell Marshall,1987-04-01,1987-08-24,,Q180383
2,Q180383,Helen Clark,1987-08-24,1989-01-30,Q2176939,Q7184579
3,Q7184579,Philip Woollaston,1989-01-30,1990-11-02,Q180383,Q5257374
4,Q5257374,Denis Marshall,1990-11-02,1996-05-30,Q7184579,Q7519940
5,Q7519940,Simon Upton,1996-05-30,1996-12-16,Q5257374,Q976339
6,Q976339,Nick Smith (New Zealand politician),1996-12-16,1999-12-10,Q7519940,Q7416681
7,Q7416681,Sandra Lee-Vercoe,1999-12-10,2002-08-15,Q976339,Q355398
8,Q355398,Chris Carter (politician),2002-08-15,2007-10-31,Q7416681,Q7612185
9,Q7612185,Steve Chadwick,2007-10-31,2008-11-19,Q355398,Q5978594
10,Q5978594,Tim Groser,2008-11-19,2010-01-27,Q7612185,Q11160035
11,Q11160035,Kate Wilkinson (politician),2010-01-27,2013-01-22,Q5978594,Q976339
,Q976339,Nick Smith (New Zealand politician),2013-01-22,2014-10-08,Q11160035,Q6395132
12,Q6395132,Maggie Barry,2014-10-08,2017-10-26,Q976339,Q5408237
13,Q5408237,Eugenie Sage,2017-10-26,,Q6395132,
